"nN_GRM";"fileID";"lang4";"lang5"
"'t_gaat_om";"fn000160";"NAT_Dut";"NAT_Nl"
"'t_gaat_om";"fn000229";"NAT_Dut";"NAT_Nl"
"'t_gaat_om";"fn000151";"NAT_Dut";"NAT_Nl"
"'t_gaat_om";"fn000232";"NAT_Dut";"NAT_Nl"
"'t_gaat_om";"fn000232";"NAT_Dut";"NAT_Nl"
"'t_gaat_om";"fn000217";"NAT_Dut";"NAT_Nl"
"'t_gaat_om";"fn000232";"NAT_Dut";"NAT_Nl"
"'t_gaat_om";"fn000214";"NAT_Dut";"NAT_Nl"
"'t_gaat_om";"fn000216";"NAT_Dut";"NAT_Nl"
"'t_gaat_om";"fn000238";"NAT_Dut";"NAT_Nl"
"'t_gaat_om";"fn000201";"NAT_Dut";"NAT_Nl"
"'t_gaat_om";"fn000221";"NAT_Dut";"NAT_Nl"
"'t_gaat_om";"fn000160";"NAT_Dut";"NAT_Nl"
"'t_gaat_om";"fn000238";"NAT_Dut";"NAT_Nl"
"'t_gaat_om";"fn000217";"NAT_Dut";"NAT_Nl"
"'t_gaat_om";"fn000217";"NAT_Dut";"NAT_Nl"
"'t_gaat_om";"fn000149";"NAT_Dut";"NAT_Nl"
"'t_gaat_om";"fn000203";"NAT_Dut";"NAT_Nl"
"'t_gaat_om";"EN_NL_293";"Eng_Dut";"Eng_Dut"
"'t_gaat_om";"fn000143";"NAT_Dut";"NAT_Nl"
"'t_gaat_om";"fn000149";"NAT_Dut";"NAT_Nl"
"'t_gaat_om";"fn000203";"NAT_Dut";"NAT_Nl"
"'t_gaat_om";"fn000193";"NAT_Dut";"NAT_Nl"
"'t_gaat_om";"fn000216";"NAT_Dut";"NAT_Nl"
"'t_gaat_om";"fn000230";"NAT_Dut";"NAT_Nl"
"'t_gaat_om";"fn000216";"NAT_Dut";"NAT_Nl"
"'t_gaat_om";"fn000216";"NAT_Dut";"NAT_Nl"
"'t_gaat_om";"fn000230";"NAT_Dut";"NAT_Nl"
"'t_gaat_om";"fn000216";"NAT_Dut";"NAT_Nl"
"'t_gaat_om";"fn000178";"NAT_Dut";"NAT_Nl"
"'t_gaat_om";"fn000201";"NAT_Dut";"NAT_Nl"
"'t_gaat_om";"fn000229";"NAT_Dut";"NAT_Nl"
"'t_gaat_om";"fn000145";"NAT_Dut";"NAT_Nl"
"'t_gaat_om";"fn000238";"NAT_Dut";"NAT_Nl"
"'t_gaat_om";"fn000211";"NAT_Dut";"NAT_Nl"
"'t_gaat_om";"fn000218";"NAT_Dut";"NAT_Nl"
"'t_gaat_om";"fn000162";"NAT_Dut";"NAT_Nl"
"'t_gaat_om";"fn000220";"NAT_Dut";"NAT_Nl"
"'t_gaat_om";"fn000246";"NAT_Dut";"NAT_Nl"
"'t_gaat_om";"fn000218";"NAT_Dut";"NAT_Nl"
"'t_gaat_om";"fn000229";"NAT_Dut";"NAT_Nl"
"'t_kader_van";"fn000212";"NAT_Dut";"NAT_Nl"
"'t_kader_van";"EN_NL_273";"Eng_Dut";"Eng_Dut"
"'t_kader_van";"EN_NL_284";"Eng_Dut";"Eng_Dut"
"'t_kader_van";"fn000232";"NAT_Dut";"NAT_Nl"
"'t_kader_van";"fn000233";"NAT_Dut";"NAT_Nl"
"'t_kader_van";"fn000214";"NAT_Dut";"NAT_Nl"
"'t_kader_van";"fn000236";"NAT_Dut";"NAT_Nl"
"'t_kader_van";"fn000214";"NAT_Dut";"NAT_Nl"
