"","nN_GRM","fileID","lang4","lang5"
"1","'t_gaat_om","fn000160","NAT_Dut","NAT_Nl"
"2","'t_gaat_om","fn000229","NAT_Dut","NAT_Nl"
"3","'t_gaat_om","fn000151","NAT_Dut","NAT_Nl"
"4","'t_gaat_om","fn000232","NAT_Dut","NAT_Nl"
"5","'t_gaat_om","fn000232","NAT_Dut","NAT_Nl"
"6","'t_gaat_om","fn000217","NAT_Dut","NAT_Nl"
"7","'t_gaat_om","fn000232","NAT_Dut","NAT_Nl"
"8","'t_gaat_om","fn000214","NAT_Dut","NAT_Nl"
"9","'t_gaat_om","fn000216","NAT_Dut","NAT_Nl"
"10","'t_gaat_om","fn000238","NAT_Dut","NAT_Nl"
"11","'t_gaat_om","fn000201","NAT_Dut","NAT_Nl"
"12","'t_gaat_om","fn000221","NAT_Dut","NAT_Nl"
"13","'t_gaat_om","fn000160","NAT_Dut","NAT_Nl"
"14","'t_gaat_om","fn000238","NAT_Dut","NAT_Nl"
"15","'t_gaat_om","fn000217","NAT_Dut","NAT_Nl"
"16","'t_gaat_om","fn000217","NAT_Dut","NAT_Nl"
"17","'t_gaat_om","fn000149","NAT_Dut","NAT_Nl"
"18","'t_gaat_om","fn000203","NAT_Dut","NAT_Nl"
"19","'t_gaat_om","EN_NL_293","Eng_Dut","Eng_Dut"
"20","'t_gaat_om","fn000143","NAT_Dut","NAT_Nl"
"21","'t_gaat_om","fn000149","NAT_Dut","NAT_Nl"
"22","'t_gaat_om","fn000203","NAT_Dut","NAT_Nl"
"23","'t_gaat_om","fn000193","NAT_Dut","NAT_Nl"
"24","'t_gaat_om","fn000216","NAT_Dut","NAT_Nl"
"25","'t_gaat_om","fn000230","NAT_Dut","NAT_Nl"
"26","'t_gaat_om","fn000216","NAT_Dut","NAT_Nl"
"27","'t_gaat_om","fn000216","NAT_Dut","NAT_Nl"
"28","'t_gaat_om","fn000230","NAT_Dut","NAT_Nl"
"29","'t_gaat_om","fn000216","NAT_Dut","NAT_Nl"
"30","'t_gaat_om","fn000178","NAT_Dut","NAT_Nl"
"31","'t_gaat_om","fn000201","NAT_Dut","NAT_Nl"
"32","'t_gaat_om","fn000229","NAT_Dut","NAT_Nl"
"33","'t_gaat_om","fn000145","NAT_Dut","NAT_Nl"
"34","'t_gaat_om","fn000238","NAT_Dut","NAT_Nl"
"35","'t_gaat_om","fn000211","NAT_Dut","NAT_Nl"
"36","'t_gaat_om","fn000218","NAT_Dut","NAT_Nl"
"37","'t_gaat_om","fn000162","NAT_Dut","NAT_Nl"
"38","'t_gaat_om","fn000220","NAT_Dut","NAT_Nl"
"39","'t_gaat_om","fn000246","NAT_Dut","NAT_Nl"
"40","'t_gaat_om","fn000218","NAT_Dut","NAT_Nl"
"41","'t_gaat_om","fn000229","NAT_Dut","NAT_Nl"
"42","'t_kader_van","fn000212","NAT_Dut","NAT_Nl"
"43","'t_kader_van","EN_NL_273","Eng_Dut","Eng_Dut"
"44","'t_kader_van","EN_NL_284","Eng_Dut","Eng_Dut"
"45","'t_kader_van","fn000232","NAT_Dut","NAT_Nl"
"46","'t_kader_van","fn000233","NAT_Dut","NAT_Nl"
"47","'t_kader_van","fn000214","NAT_Dut","NAT_Nl"
"48","'t_kader_van","fn000236","NAT_Dut","NAT_Nl"
"49","'t_kader_van","fn000214","NAT_Dut","NAT_Nl"
"50","'t_kader_van","fv600646","NAT_Dut","NAT_Vl"
"51","'t_kader_van","fn000229","NAT_Dut","NAT_Nl"
"52","'t_kader_van","fn000234","NAT_Dut","NAT_Nl"
"53","'t_kader_van","fv600643","NAT_Dut","NAT_Vl"
"54","'t_kader_van","fn000233","NAT_Dut","NAT_Nl"
"55","'t_kader_van","fn000174","NAT_Dut","NAT_Nl"
"56","'t_kader_van","fv600628","NAT_Dut","NAT_Vl"
"57","'t_kader_van","fn000246","NAT_Dut","NAT_Nl"
"58","'t_kader_van","fn000146","NAT_Dut","NAT_Nl"
"59","'t_kader_van","fv600675","NAT_Dut","NAT_Vl"
"60","'t_kader_van","fn000234","NAT_Dut","NAT_Nl"
"61","'t_kader_van","fn000232","NAT_Dut","NAT_Nl"
"62","'t_kader_van","fn000246","NAT_Dut","NAT_Nl"
"63","'t_kader_van","fn000244","NAT_Dut","NAT_Nl"
"64","'t_kader_van","fn000145","NAT_Dut","NAT_Nl"
"65","'t_kader_van","fv600646","NAT_Dut","NAT_Vl"
"66","'t_kader_van","fn000233","NAT_Dut","NAT_Nl"
"67","'t_kader_van","fn000244","NAT_Dut","NAT_Nl"
"68","'t_kader_van","fn000244","NAT_Dut","NAT_Nl"
"69","'t_kader_van","fv600672","NAT_Dut","NAT_Vl"
"70","'t_kader_van","fn000175","NAT_Dut","NAT_Nl"
"71","'t_kader_van","fn000233","NAT_Dut","NAT_Nl"
"72","'t_kader_van","fn000233","NAT_Dut","NAT_Nl"
"73","'t_kader_van","fv600658","NAT_Dut","NAT_Vl"
"74","'t_kader_van","fn000244","NAT_Dut","NAT_Nl"
"75","'t_kader_van","fv600640","NAT_Dut","NAT_Vl"
"76","'t_kader_van","fn000233","NAT_Dut","NAT_Nl"
"77","'t_kader_van","fv600678","NAT_Dut","NAT_Vl"
"78","'t_kader_van","fv600676","NAT_Dut","NAT_Vl"
"79","'t_kader_van","fv600640","NAT_Dut","NAT_Vl"
"80","aan_de_andere_kant","fn000178","NAT_Dut","NAT_Nl"
"81","aan_de_andere_kant","fn000195","NAT_Dut","NAT_Nl"
"82","aan_de_andere_kant","fv600591","NAT_Dut","NAT_Vl"
"83","aan_de_andere_kant","fv600655","NAT_Dut","NAT_Vl"
"84","aan_de_andere_kant","NL_FR_211","MEP_Dut","MEP_Dut"
"85","aan_de_andere_kant","EN_NL_298","Eng_Dut","Eng_Dut"
"86","aan_de_andere_kant","fv600014","NAT_Dut","NAT_Vl"
"87","aan_de_andere_kant","NL_or_240","MEP_Dut","MEP_Dut"
"88","aan_de_andere_kant","fn000202","NAT_Dut","NAT_Nl"
"89","aan_de_andere_kant","fn000197","NAT_Dut","NAT_Nl"
"90","aan_de_andere_kant","fn000160","NAT_Dut","NAT_Nl"
"91","aan_de_andere_kant","fn000217","NAT_Dut","NAT_Nl"
"92","aan_de_andere_kant","fn000208","NAT_Dut","NAT_Nl"
"93","aan_de_andere_kant","NL_080","Fra_Dut","Fra_Dut"
"94","aan_de_andere_kant","fv600698","NAT_Dut","NAT_Vl"
"95","aan_de_andere_kant","fv600660","NAT_Dut","NAT_Vl"
