"";"NA";"'t_gaat_om";"NA";"'t_kader_van";"aan_de_andere_kant";"aan_de_ene_kant";"aan_de_orde";"aan_de_orde_is";"al_dan_niet";"als_het_gaat";"als_het_gaat_om";"dan_is_het";"dan_wil_ik";"dat_betekent_dat";"dat_heb_ik";"dat_is_niet";"dat_is_ook";"dat_is_toch";"dat_weet_u";"de_afgelopen_maanden";"de_andere_kant";"de_bescherming_van";"de_bestrijding_van";"de_bevoegdheden_van";"de_eerste_plaats";"de_financiering_van";"de_gevolgen_van";"de_huidige_situatie";"de_mobiliteit_van";"de_orde_van";"de_rechten_van";"de_rol_van";"de_strategie_van";"de_veiligheid_in";"de_veiligheid_op";"de_verbetering_van";"de_verenigde_staten";"de_vraag_is";"de_wijze_waarop";"denk_ik_dat";"dus_we_moeten";"en_dat_is";"en_het_is";"en_ik_denk";"en_ik_denk_dat";"en_ik_heb";"en_ik_wil";"en_ik_zou";"en_we_hebben";"en_we_moeten";"en_wij_hebben";"en_wij_willen";"ervoor_te_zorgen";"ervoor_te_zorgen_dat";"ervoor_zorgen_dat";"het_algemeen_overleg";"het_arrest_van";"het_belang_van";"het_beleid_van";"het_einde_van";"het_feit_dat";"het_gaat_hier";"het_gaat_om";"het_gaat_over";"het_gebied_van";"het_gebruik_van";"het_hebben_over";"het_is_niet";"het_is_ook";"het_kader_van";"het_oog_op";"het_principe_van";"het_voorstel_van";"ik_denk_dat";"ik_geloof_dat";"ik_hoop_dat";"ik_kan_u";"ik_vind_dat";"ik_vind_het";"ik_wil_ook";"in_'t_kader";"in_'t_kader_van";"in_de_afgelopen";"in_de_eerste_plaats";"in_de_praktijk";"in_de_toekomst";"in_de_wereld";"in_die_zin";"in_dit_verband";"in_elk_geval";"in_geval_van";"in_het_algemeen";"in_het_bijzonder";"in_het_kader";"in_het_kader_van";"in_het_verleden";"in_ieder_geval";"in_plaats_van";"in_verband_met";"is_het_zo";"is_het_zo_dat";"laten_we_zeggen";"maar_dat_is";"maar_het_is";"mannen_en_vrouwen";"met_andere_woorden";"met_betrekking_tot";"met_het_oog";"met_het_oog_op";"mijn_vraag_is";"misdaden_tegen_de_menselijkheid";"moet_ik_u";"moeten_ervoor_zorgen";"moeten_ervoor_zorgen_dat";"mogelijk_te_maken";"naar_aanleiding_van";"niet_alleen_maar";"om_ervoor_te_zorgen";"om_te_komen_tot";"om_te_voldoen";"om_te_voldoen_aan";"om_te_zeggen";"op_basis_van";"op_de_hoogte";"op_de_weg";"op_deze_manier";"op_die_manier";"op_dit_moment";"op_dit_ogenblik";"op_dit_punt";"op_het_gebied";"op_het_gebied_van";"op_het_terrein";"op_het_vlak";"op_het_vlak_van";"orde_van_de_dag";"over_de_veiligheid";"over_tot_de_orde";"rechten_van_de_mens";"rekening_houden_met";"sprake_is_van";"te_komen_tot";"te_maken_met";"te_voldoen_aan";"te_zeggen_dat";"te_zorgen_dat";"te_zorgen_voor";"ten_aanzien_van";"toch_een_beetje";"tot_de_orde";"tot_nu_toe";"van_de_bevolking";"van_de_dag";"van_de_gegevens";"van_de_markt";"van_de_mens";"van_de_mensenrechten";"van_de_veiligheid";"van_de_volksgezondheid";"van_de_wereldgezondheidsorganisatie";"van_doorslaggevend_belang";"van_het_huwelijk";"van_mening_dat";"veiligheid_op_de_weg";"voor_de_toekomst";"voor_het_feit";"voor_het_feit_dat";"want_het_is";"wat_dat_betreft";"wat_mij_betreft";"we_moeten_dus";"we_moeten_ervoor_zorgen";"we_moeten_inderdaad";"we_moeten_niet";"we_moeten_ook";"wil_ik_ook";"willen_danken_voor";"zien_we_dat";"zijn_een_aantal";"zo_snel_mogelijk";"NA"
"EN_NL_273";0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"EN_NL_274";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"EN_NL_275";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"EN_NL_276";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"EN_NL_277";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
"EN_NL_278";0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
"EN_NL_279";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"EN_NL_280";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"EN_NL_281";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
"EN_NL_282";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
